# 乱码映射表 - 每行格式: 乱码模式<tab>正确字符
持	持
个	个
✅	✅
用	用
发	发
它	个
它	大
它	小
它	高
它	最
它	快
它	多
它	好
它	新
它	长
它	能
它	还
它	就
它	也
它	人
它	我
它	他
它	她
它	它
它们	们
肯	为
肯	以
肯	作
肯	事
肯	说
肯	成
肯	所
肯	后
肯	方
肯	等
肯	想
肯	起
肯	知
肯	只
肯	没
肯	看
肯	开
肯	进
肯	过
肯	现
肯	当
肯	与
肯	给
肯	从
肯	到
肯	把
肯	被
肯	比
肯	更
肯	很
肯	太
肯	又
肯	再
肯	已
肯	不
肯	在
肯	有
肯	是
肯	的
肯	和
肯	了
肯	着
肯	地
肯	得
肯	也
肯	就
肯	都
肯	而
肯	且
肯	但
肯	如
肯	若
肯	因
肯	或
肯	虽
肯	然
肯	可
肯	能
肯	要
肯	会
肯	应
肯	该
肯	需
肯	须
肯	必
肯	将
肯	将
肯	已
肯	曾
肯	刚
肯	正
肯	在
肯	要
肯	想
肯	肯
肯 ?	定
公	是
公	有
公	在
公	不
公	了
公	和
公	人
公	这
公	中
公	大
公	为
公	上
公	个
公	国
公	和
公	地
公	以
公	时
公	要
公	就
公	出
公	会
公	可
公	也
公	对
公	生
公	能
公	而
公	子
公	那
公	得
公	自
公	之
公	年
公	过
公	发
公	后
公	作
公	里
公	用
公	道
公	行
公	所
公	然
公	家
公	种
公	成
公	方
公	多
公	经
公	么
公	去
公	法
公	学
公	如
公	研
公	都
公	同
公	现
公	当
公	没
公	动
公	面
公	起
公	看
公	定
公	天
公	分
公	还
公	进
公	好
公	小
公	部
公	其
公	些
公	主
公	样
公	理
公	心
公	本
公	前
公	开
公	但
公	因
公	只
公	从
公	想
公	实
公	者
公	意
公	无
公	力
公	它
公	与
公	长
公	把
公	机
公	十
公	民
公	第
公	公
于	中
于	不
于	个
于	和
于	下
于	于
位	你
位	他
位	位
》	,
》	?
》	!
》	:
》	;
》	(
》	)
》	【
》	】
》	《
》	》
;	。
;	,
;	、
;	?
;	!
;	:
;	;
"	"
"	"
'	'
-	—
-	-
✅	✅
⚠️	⚠️
⚡	⚡
📄	📄
📄Š	📊
📄ˆ	📈
📄‰	📉
🔧	🔧
💡	💡
🚀	🚀
🎯	🎯
✨	🔑
🌐	🌐
✨	📋
✨	✨
,	,
时	时
到	个
要	要
级	级
闻	闻
人	人
容	容
情	情
给	给
息	息
近	近
的	的
洁	洁
门	面
门	门
;	。
;	,
;	、
;	?
;	!
;	:
;	;
)	,
)	?
)	!
)	:
)	;
)	(
)	)
此	此
写	写
人	于
等	等
有	有
动	动
项	项
人	人
或	或
到	到
"	"
"	"
'	'
-	—
-	-
